ds,yhat_lower,yhat_upper
2021-07-04 00:00:00,27241.828125295026,30964.578740729725
2021-07-04 12:00:00,27291.66849504159,31014.41911047629
2021-07-05 00:00:00,27343.42894921146,31066.179564646158
2021-07-05 12:00:00,27397.064707696845,31119.815323131545
2021-07-06 00:00:00,27452.53087591267,31175.28149134737
2021-07-06 12:00:00,27509.78247353773,31232.53308897243
2021-07-07 00:00:00,27568.77447530353,31291.52509073823
2021-07-07 12:00:00,27629.46182778958,31352.212443224278
2021-07-08 00:00:00,27691.799495341453,31414.550110776152
2021-07-08 12:00:00,27755.74247959551,31478.493095030208
2021-07-09 00:00:00,27821.24585522071,31543.99647065541
2021-07-09 12:00:00,27888.264797358974,31611.015412793673
2021-07-10 00:00:00,27956.754613939098,31679.505229373797
2021-07-10 12:00:00,28026.67077242517,31749.421387859868
2021-07-11 00:00:00,28097.968930762247,31820.719546196946
2021-07-11 12:00:00,28170.604963234793,31893.355578669492
2021-07-12 00:00:00,28244.53498648955,31967.28560192425
2021-07-12 12:00:00,28319.715395161584,32042.466010596283
2021-07-13 00:00:00,28396.10287985298,32118.85349528768
2021-07-13 12:00:00,28473.65445768308,32196.405073117778
2021-07-14 00:00:00,28552.32749457334,32275.07811000804
2021-07-14 12:00:00,28632.079742575064,32354.830358009764
2021-07-15 00:00:00,28712.869340234654,32435.619955669354
2021-07-15 12:00:00,28794.654871048886,32517.405486483585
2021-07-16 00:00:00,28877.39535331368,32600.14596874838
2021-07-16 12:00:00,28961.050282282027,32683.800897716726
2021-07-17 00:00:00,29045.579655102436,32768.33027053713
2021-07-17 12:00:00,29130.94397862356,32853.69459405826
2021-07-18 00:00:00,29217.104300414125,32939.854915848824
2021-07-18 12:00:00,29304.022229012175,33026.772844446874
2021-07-19 00:00:00,29391.659953796632,33114.41056923133
2021-07-19 12:00:00,29479.980261469624,33202.73087690432
2021-07-20 00:00:00,29568.946555441682,33291.69717087638
2021-07-20 12:00:00,29658.522879933174,33381.273495367874
2021-07-21 00:00:00,29748.67392651309,33471.42454194779
2021-07-21 12:00:00,29839.365062650613,33562.11567808531
2021-07-22 00:00:00,29930.56234279921,33653.31295823391
2021-07-22 12:00:00,30022.232518424935,33744.983133859634
2021-07-23 00:00:00,30114.343061762047,33837.093677196746
2021-07-23 12:00:00,30206.86217406975,33929.61278950445
2021-07-24 00:00:00,30299.758811447435,34022.509426882134
2021-07-24 12:00:00,30393.002666822656,34115.753282257356
2021-07-25 00:00:00,30486.564221683788,34209.31483711849
2021-07-25 12:00:00,30580.414733464168,34303.16534889887
2021-07-26 00:00:00,30674.526236217593,34397.27685165229
2021-07-26 12:00:00,30768.871588201786,34491.622203636485
2021-07-27 00:00:00,30863.424444250253,34586.17505968495
2021-07-27 12:00:00,30958.159281408836,34680.909896843536
2021-07-28 00:00:00,31053.051395374,34775.8020108087
2021-07-28 12:00:00,31148.07693245711,34870.82754789181
2021-07-29 00:00:00,31243.212859914667,34965.96347534937
2021-07-29 12:00:00,31338.43699920406,35061.18761463876
2021-07-30 00:00:00,31433.728022010997,35156.478637445696
2021-07-30 12:00:00,31529.065456885663,35251.81607232036
2021-07-31 00:00:00,31624.42967571359,35347.18029114829
2021-07-31 12:00:00,31719.801926314707,35442.55254174941
2021-08-01 00:00:00,31815.164313559624,35537.91492899432
2021-08-01 12:00:00,31910.499800218415,35633.250415653114
2021-08-02 00:00:00,32005.79222055502,35728.54283598972
2021-08-02 12:00:00,32101.026265151435,35823.776880586134
2021-08-03 00:00:00,32196.187490659417,35918.938106094116
2021-08-03 12:00:00,32291.262313780608,36014.01292921531
2021-08-04 00:00:00,32386.238012775088,36108.98862820979
2021-08-04 12:00:00,32481.102711366082,36203.85332680078
2021-08-05 00:00:00,32575.845398817655,36298.596014252355
2021-08-05 12:00:00,32670.455903651266,36393.206519085965
2021-08-06 00:00:00,32764.924896860524,36487.67551229522
2021-08-06 12:00:00,32859.243884090334,36581.99449952503
2021-08-07 00:00:00,32953.405210683544,36676.15582611824
2021-08-07 12:00:00,33047.40203878551,36770.15265422021
2021-08-08 00:00:00,33141.22834165536,36863.97895709006
2021-08-08 12:00:00,33234.87890454341,36957.62951997811
2021-08-09 00:00:00,33328.34931152818,37051.09992696288
2021-08-09 12:00:00,33421.635937602594,37144.38655303729
2021-08-10 00:00:00,33514.73592604311,37237.48654147781
2021-08-10 12:00:00,33607.647205173234,37330.397820607934
2021-08-11 00:00:00,33700.36843822905,37423.11905366375
2021-08-11 12:00:00,33792.89904995857,37515.64966539327
2021-08-12 00:00:00,33885.239193470734,37607.98980890543
2021-08-12 12:00:00,33977.3897348393,37700.140350274
2021-08-13 00:00:00,34069.35224797803,37792.10286341273
2021-08-13 12:00:00,34161.12900774095,37883.87962317565
2021-08-14 00:00:00,34252.72294280632,37975.47355824102
2021-08-14 12:00:00,34344.137674565885,38066.888290000585
2021-08-15 00:00:00,34435.377433238355,38158.128048673054
2021-08-15 12:00:00,34526.447116007446,38249.197731442146
2021-08-16 00:00:00,34617.3522018456,38340.1028172803
2021-08-16 12:00:00,34708.09879619969,38430.849411634386
